Lista de indices Diarios da TaxaSelic;19940101;20131025;
Data;Taxa (%a.a.);Fator diário;Base de cálculo (R$);Média;Mediana;Moda;Desvio padrão;Índice de curtose;
03/01/1994;6.432,85;1,01672333;0,00;0,00;0,00;0,00;0,00;0,00;
04/01/1994;6.389,83;1,01669667;0,00;0,00;0,00;0,00;0,00;0,00;
05/01/1994;6.384,46;1,01669333;0,00;0,00;0,00;0,00;0,00;0,00;
06/01/1994;6.384,46;1,01669333;0,00;0,00;0,00;0,00;0,00;0,00;
07/01/1994;6.384,46;1,01669333;0,00;0,00;0,00;0,00;0,00;0,00;
10/01/1994;6.379,11;1,01669000;0,00;0,00;0,00;0,00;0,00;0,00;
11/01/1994;6.384,46;1,01669333;0,00;0,00;0,00;0,00;0,00;0,00;
12/01/1994;6.384,46;1,01669333;0,00;0,00;0,00;0,00;0,00;0,00;
13/01/1994;6.389,83;1,01669667;0,00;0,00;0,00;0,00;0,00;0,00;
14/01/1994;6.395,19;1,01670000;0,00;0,00;0,00;0,00;0,00;0,00;
17/01/1994;6.395,19;1,01670000;0,00;0,00;0,00;0,00;0,00;0,00;
18/01/1994;6.400,55;1,01670333;0,00;0,00;0,00;0,00;0,00;0,00;
19/01/1994;7.492,53;1,01733000;0,00;0,00;0,00;0,00;0,00;0,00;
20/01/1994;7.492,53;1,01733000;0,00;0,00;0,00;0,00;0,00;0,00;
21/01/1994;7.492,53;1,01733000;0,00;0,00;0,00;0,00;0,00;0,00;
24/01/1994;7.492,53;1,01733000;0,00;0,00;0,00;0,00;0,00;0,00;
25/01/1994;7.492,53;1,01733000;0,00;0,00;0,00;0,00;0,00;0,00;
26/01/1994;8.855,34;1,01799667;0,00;0,00;0,00;0,00;0,00;0,00;
27/01/1994;8.855,34;1,01799667;0,00;0,00;0,00;0,00;0,00;0,00;
28/01/1994;8.862,72;1,01800000;0,00;0,00;0,00;0,00;0,00;0,00;
31/01/1994;8.862,72;1,01800000;0,00;0,00;0,00;0,00;0,00;0,00;
01/02/1994;14.853,88;1,02007000;0,00;0,00;0,00;0,00;0,00;0,00;
02/02/1994;14.866,18;1,02007333;0,00;0,00;0,00;0,00;0,00;0,00;
03/02/1994;14.841,58;1,02006667;0,00;0,00;0,00;0,00;0,00;0,00;
04/02/1994;14.841,58;1,02006667;0,00;0,00;0,00;0,00;0,00;0,00;
07/02/1994;14.238,81;1,01990000;0,00;0,00;0,00;0,00;0,00;0,00;
08/02/1994;14.215,20;1,01989333;0,00;0,00;0,00;0,00;0,00;0,00;
09/02/1994;14.203,43;1,01989000;0,00;0,00;0,00;0,00;0,00;0,00;
10/02/1994;14.179,87;1,01988333;0,00;0,00;0,00;0,00;0,00;0,00;
11/02/1994;13.424,27;1,01966333;0,00;0,00;0,00;0,00;0,00;0,00;
16/02/1994;13.424,27;1,01966333;0,00;0,00;0,00;0,00;0,00;0,00;
17/02/1994;13.424,27;1,01966333;0,00;0,00;0,00;0,00;0,00;0,00;
18/02/1994;13.402,03;1,01965667;0,00;0,00;0,00;0,00;0,00;0,00;
